,insert_BST_mean,insert_BST_std ,insert_map_mean,insert_map_std,copy_BTS_mean,copy_BTS_std,copy_map_mean,copy_map_std,find_BST_mean,find_BST_std,find_map_mean,find_map_std,modify_BST_mean,modify_BST_std,modify_map_mean,modify_map_std,erase_BST_mean,erase_BST_std,erase_map_std
62,449.427,1260.7388788607257,396.807,977.4502216230753,6675.875,2433.276150249905,3314.149,2969.3060045739644,285.459,618.0937164532577,233.353,947.4873246598071,314.751,450.14030368208535,209.647,85.91931325959267,1093.201,1478.271956237755,312.727
63,360.62,453.70494773586125,355.836,436.1191157287193,6643.954,1846.8717572923138,3313.812,1919.7498109535022,310.198,899.1937114971383,203.364,428.76158818625447,345.322,607.640385685481,198.316,23.942601028292632,1310.913,2127.409420734759,296.228
64,405.944,733.7249790377855,340.885,42.147381591268484,6860.39,2884.3988066666507,3284.903,1690.2405839379808,266.55,456.92934628889736,192.349,27.21152695090812,329.908,460.4487936090181,212.287,437.04176531654264,1195.835,1732.2446223830514,276.81
65,410.713,1062.924180095175,382.498,901.6150675293758,6911.325,2140.0241156059396,3408.493,2075.007473227747,326.992,1078.718930925012,190.059,24.459957461124084,341.448,822.1749833800585,227.076,650.9685293652834,1236.466,2015.5843859397198,266.904
66,373.076,626.1678402984303,349.676,41.86742198894029,7027.966,2481.9551057269355,3336.259,1428.694313672102,264.761,646.7638640794645,213.039,612.4499305894317,455.628,2698.7490842269867,264.496,1321.0603453226508,1171.167,1768.1104425660162,270.345
67,401.244,713.3162780029627,345.796,42.90792915068264,7253.409,2934.6609687865143,3310.346,1016.9889804142423,251.744,75.17809829997032,189.571,21.820883552230427,323.467,656.9188876193166,221.934,648.975671072499,1094.834,1348.0217069632083,282.689
68,358.991,89.54103483319807,350.69,41.56787100634337,7264.131,2929.3273920541906,3334.335,994.1293813055717,278.711,617.1626620907974,191.755,24.150548130425502,347.825,617.5243852472529,208.027,75.34069465435002,1286.297,2478.4787376112386,291.052
69,398.559,783.8108856854436,349.101,38.231960438878886,7414.719,3672.5308943614077,3418.254,1397.3849825599245,267.207,74.79506769165991,190.116,23.833852898765656,362.972,998.590398119269,198.108,24.0115042427583,1237.535,1911.1011121275096,256.391
70,387.496,643.0336709566615,344.716,42.40006301882108,7236.172,2249.0645900942927,3546.725,2068.676970765375,275.671,656.2206448741159,190.854,23.41270347482325,371.31,897.6655267414473,201.893,28.071151579513106,1085.68,1799.2270644918603,276.18
71,369.71,84.34457836755126,368.256,615.7565675362302,7476.258,2806.234309076132,3666.408,2432.999308165951,279.49,665.0640389466264,209.88,469.81358601045173,325.612,443.53871922978715,214.784,451.5378249316439,1212.139,1624.1623698630008,273.609
72,358.613,88.48015162170559,345.837,49.509276211635346,7463.727,3008.7559044347545,3532.127,1557.0820032583392,277.487,670.4758323989018,208.802,642.6455701208868,396.923,1165.0688791101575,243.743,966.5680860399855,1091.046,1707.073730652547,259.407
73,359.79,92.96783260891908,347.303,38.553277305567654,7501.223,2278.603732830919,3524.061,1241.150166288915,278.459,234.48242219620656,191.989,25.80319513161112,317.285,450.92011462674833,232.454,643.3697660630313,1247.788,1853.6520404477217,277.607
74,424.609,1023.6105988699989,340.089,42.34011193891675,7859.615,4912.58045662104,3557.258,1364.3516634050045,283.56,641.9451584052952,209.57,322.0609586708704,356.216,776.474381640502,238.174,632.7404995130315,1230.665,3209.9214857648817,248.961
75,359.105,97.132136674738,347.224,40.96434820670283,7601.688,2296.5621429989624,3606.239,1500.569307256083,283.022,656.342573292332,194.232,25.60097998124289,428.67,1427.480737208038,200.311,26.3315073438647,1249.867,1660.3183813085388,264.09
76,389.603,811.3722754636121,358.669,434.7269527404529,7915.266,3671.0905814545094,3678.641,1946.3542350042565,267.012,650.6611083013955,189.574,26.948998571375505,348.732,912.9024592890524,230.328,578.414277500132,1205.257,1247.7734525750268,289.707
77,418.619,1033.5404413176097,393.176,892.2209855321719,7999.935,4292.508567816139,3718.606,1785.203842356385,274.809,432.8910561781104,213.94,477.6217377800134,444.04,1734.0543677751293,209.322,27.560484683691595,1214.446,1573.8776124857998,253.06
78,383.034,870.223639557097,366.199,711.6385974629256,8028.085,3438.986742890269,3646.558,1244.501053690193,280.771,626.7767358150745,192.264,24.77354040100043,389.125,1101.964521831352,220.352,453.2262879577925,1299.703,1606.2414179664906,272.873
79,367.212,619.7006043695617,373.369,858.3483924601946,7974.776,3160.238083408274,3643.353,1216.9352465891516,291.146,625.861613045568,209.326,445.27735146086036,313.787,121.13881966983172,199.955,24.709653477942588,1321.516,1964.7684616116978,253.179
80,371.171,457.0128945215876,345.969,41.693621082846725,8005.26,2794.164779750827,3766.571,1774.2807542660769,302.812,955.7691094903619,203.004,442.1587746319192,344.497,627.998089161902,222.439,440.61124166208,1207.645,1599.1921119662256,253.405
81,363.606,97.70840682356877,363.805,497.0673686483556,8094.69,2741.681877224272,3937.735,3828.4280427840126,255.647,437.4482305267674,192.732,23.50098244754891,398.804,1130.2282289803245,200.841,24.376048059519416,1222.572,1437.6689468775494,261.954
82,381.374,525.3434344540725,349.744,47.813538501140044,8015.001,2399.07341050644,3851.556,1968.7329592567903,292.582,1005.4850676544133,189.736,24.140925914305775,333.96,653.414798118317,220.805,667.7028807598487,1128.434,1394.5446216037694,250.188
83,403.596,904.1258445504142,360.274,460.607623606036,8153.235,2586.7194520811486,3826.247,1827.412079414766,248.064,73.2902988396145,192.161,22.825185190924532,294.849,70.10662022234418,207.086,74.90776063933565,1254.005,1150.0994239521203,286.834
84,359.496,88.7113407857192,368.558,439.96070124046315,8453.592,3328.294347790773,3978.903,2766.2805959611196,318.837,1007.3436932998599,191.479,27.54936585477056,367.007,1124.7161806211375,225.853,628.6134308070416,1400.285,1639.1443944250307,249.414
85,392.344,781.9981251026122,347.983,44.6552876040453,8457.109,4607.300737429567,3971.986,2115.209585786712,263.563,258.29648087227196,211.262,657.977707339694,374.48,914.5569395067758,295.603,1311.9570028743308,1146.262,1244.86441324186,253.972
86,382.192,632.2697012636299,368.314,638.575230809965,8421.771,3090.113804790851,3893.194,1638.3005329804423,346.885,2614.01587022248,211.153,627.4169933871732,385.648,1040.8350715151755,198.307,26.16365324261887,1247.36,1376.2741508870974,253.15
